expenditure_type,sector,dp_code,account_head,amount_thousand,amount_crore,simplified_sector
revenue_services,administration,210-10-01-01,SALARIES AND ALLOWANCES-OFFICERS,989331,98.9331,administration
revenue_services,administration,210-10-01-02,SALARIES AND ALLOWANCES-STAFF,3987247,398.7247,administration
revenue_services,administration,210-10-02-01,SALARIES AND ALLOWANCES-DRIVERS,781654,78.1654,administration
revenue_services,environment,210-10-02-02,SALARIES AND ALLOWANCES-CLEANERS,41457,4.1457,environment
revenue_services,infrastructure,210-10-02-03,SALARIES AND ALLOWANCES-ENGINEERING WORKS,1360707,136.0707,infrastructure
revenue_services,environment,210-10-02-04,SALARIES AND ALLOWANCES-CONSERVANCY WORKS,3221204,322.1204,environment
revenue_services,healthcare,210-10-02-05,SALARIES AND ALLOWANCES-HEALTH WORKS,651955,65.1955,healthcare
revenue_services,administration,210-10-03-01,LEAVE SALARY SURRENDER-OFFICERS,188,0.0188,administration
revenue_services,administration,210-10-03-02,LEAVE SALARY SURRENDER-STAFF,272,0.0272,administration
revenue_services,administration,210-10-03-03,LEAVE SALARY SURRENDER-DRIVERS,28,0.0028,administration
revenue_services,administration,210-10-03-04,LEAVE SALARY SURRENDER-CLEANERS,7,0.0007,administration
revenue_services,infrastructure,210-10-03-05,LEAVE SALARY SURRENDER-ENGINEERING WORKS,45,0.0045,infrastructure
revenue_services,environment,210-10-03-06,LEAVE SALARY SURRENDER-CONSERVANCY WORKS,16,0.0016,environment
revenue_services,healthcare,210-10-03-07,LEAVE SALARY SURRENDER-HEALTH WORKS,104,0.0104,healthcare
revenue_services,administration,210-10-04-02,EX-GRATIA,25,0.0025,administration
revenue_services,environment,210-10-06-01,PAYMENT TO CASUAL STAFF-CONSERVANCY WORKERS,1143507,114.3507,environment
revenue_services,healthcare,210-10-06-02,PAYMENT TO CASUAL STAFF-HEALTH WORKS,571319,57.1319,healthcare
revenue_services,transport,210-10-06-03,PAYMENT TO CASUAL STAFF-ROAD WORKS,40512,4.0512,transport
revenue_services,administration,210-10-06-05,PAYMENT TO CASUAL STAFF-OTHERS,19244,1.9244,administration
revenue_services,administration,210-10-06-06,PAYMENT TO CASUAL STAFF-DRIVER,264,0.0264,administration
revenue_services,energy,210-10-06-07,PAYMENT TO CASUAL STAFF-ELECTRICAL,5315,0.5315,energy
revenue_services,public_welfare,210-10-06-08,PAYMENT TO CASUAL STAFF-AMMA UNAVAGAM,417000,41.7,public_welfare
revenue_services,public_welfare,210-10-06-09,PAYMENT TO CASUAL STAFF-CMBFS,10000,1.0,public_welfare
revenue_services,administration,210-10-07-00,CONTRIBUTION TO C P S-EMPLOYERS SHARE,500400,50.04,administration
revenue_services,healthcare,210-20-01-00,REIMBURSEMENT OF MEDICAL EXPENSES,1453,0.1453,healthcare
revenue_services,administration,210-20-02-00,LEAVE TRAVEL CONCESSION,358,0.0358,administration
revenue_services,administration,210-20-03-00,OVERTIME ALLOWANCE,33,0.0033,administration
revenue_services,administration,210-20-04-01,UNIFORM-DRIVER,2222,0.2222,administration
