level,year,sector,amount_crore,source
corporation,2024-25,administration,1934.54,Chennai Budget 2024-25 Budget at a Glance.pdf | Full granular parse pp.31-140 | parse_gcc_2024_25_full.py | Rev: salaries (officers/staff/drivers/pension/admin) + p.30 Capital Fund contribution | Cap: admin T&P
corporation,2024-25,digital_governance,15.1,Chennai Budget 2024-25 Budget at a Glance.pdf | Full granular parse pp.31-140 | parse_gcc_2024_25_full.py | Rev: e-governance design & consultancy (220-53)
corporation,2024-25,education,527.5,Chennai Budget 2024-25 Budget at a Glance.pdf | Full granular parse pp.31-140 | parse_gcc_2024_25_full.py | Rev: Education Fund 383.06 + Library Cess 60.00 + school O&M 78.03 | Cap: Education dept equip + school buildings 6.41
corporation,2024-25,energy,293.8,Chennai Budget 2024-25 Budget at a Glance.pdf | Full granular parse pp.31-140 | parse_gcc_2024_25_full.py | Rev: Street lights electricity 150.00 + other EB 37.00 + electrical O&M 46.46 | Cap: Electrical dept 50.00 + Electrical T&P 10.34
corporation,2024-25,environment,1508.72,"Chennai Budget 2024-25 Budget at a Glance.pdf | Full granular parse pp.31-140 | parse_gcc_2024_25_full.py | Rev: conservancy staff+casual 1,021.76 + privatisation+parks O&M 235.67 | Cap: SWM dept 210.00 + Parks dept 40.00 + T&P env 1.29"
corporation,2024-25,healthcare,180.5,Chennai Budget 2024-25 Budget at a Glance.pdf | Full granular parse pp.31-140 | parse_gcc_2024_25_full.py | Rev: health staff+casual+O&M 175.93 | Cap: Health dept equip 3.75 + Family Welfare 0.55 + T&P health 0.27
corporation,2024-25,infrastructure,598.63,Chennai Budget 2024-25 Budget at a Glance.pdf | Full granular parse pp.31-140 | parse_gcc_2024_25_full.py | Rev: engineering staff+O&M 141.34 | Cap: Buildings 146.20 + Bridges 268.00 + Mechanical Engg 41.00 + T&P infra 2.09
corporation,2024-25,other,49.68,Chennai Budget 2024-25 Budget at a Glance.pdf | Full granular parse pp.31-140 | parse_gcc_2024_25_full.py | Rev: Miscellaneous (271-90) 20.05 + O&M miscellaneous 29.63
corporation,2024-25,public_welfare,150.44,Chennai Budget 2024-25 Budget at a Glance.pdf | Full granular parse pp.31-140 | parse_gcc_2024_25_full.py | Rev: Amma Unavagam staff+provisions 107.00 + prog. expenses 9.61 + flood relief food 18.83 + etc.
corporation,2024-25,revenue,94.55,Chennai Budget 2024-25 Budget at a Glance.pdf | Full granular parse pp.31-140 | parse_gcc_2024_25_full.py | Rev: Interest & Finance Charges (240-xx) 94.55
corporation,2024-25,safety_policing,3.0,Chennai Budget 2024-25 Budget at a Glance.pdf | Full granular parse pp.31-140 | parse_gcc_2024_25_full.py | Rev: Nirbhaya Scheme O&M (230-80-15) 3.00
corporation,2024-25,social_welfare,26.83,Chennai Budget 2024-25 Budget at a Glance.pdf | Full granular parse pp.31-140 | parse_gcc_2024_25_full.py | Rev: Night shelters 6.60 + burial grounds 10.85 + de-addiction/old-age 0.05 + community centres 7.03 + gymnasium 0.00 + dhobikhana 0.05 + Shelter for homeless 2.25
corporation,2024-25,transport,447.8,Chennai Budget 2024-25 Budget at a Glance.pdf | Full granular parse pp.31-140 | parse_gcc_2024_25_full.py | Rev: road O&M + casual road workers 27.15 | Cap: Bus Route Roads dept 390.00 + zone road works 30.65
corporation,2024-25,urban_development,622.58,Chennai Budget 2024-25 Budget at a Glance.pdf | Full granular parse pp.31-140 | parse_gcc_2024_25_full.py | Rev: Mayor's fund 3.00 + smart city 5.00 + misc urban 2.30 | Cap: Special Projects 259.50 + zone ward/SFC/Singara works 352.78 + urban T&P 0.30
corporation,2024-25,water_sanitation,1414.03,"Chennai Budget 2024-25 Budget at a Glance.pdf | Full granular parse pp.31-140 | parse_gcc_2024_25_full.py | Rev: SWD desilting + public conveniences + drain O&M 86.37 | Cap: Storm Water Drain dept 1,321.00 + zone SWD works + T&P water 0.03"
state,2024-25,education,54327.0,"PRS India Budget Analysis 2024-25 | TN_State_Budget_Analysis_2024_25_PRS.pdf | Education, Sports, Arts & Culture | +12% over RE 23-24"
state,2024-25,social_welfare,34548.0,PRS India Budget Analysis 2024-25 | TN_State_Budget_Analysis_2024_25_PRS.pdf | Social Welfare and Nutrition | +14% over RE 23-24
state,2024-25,public_welfare,24232.0,PRS India Budget Analysis 2024-25 | TN_State_Budget_Analysis_2024_25_PRS.pdf | Agriculture and Allied Activities | +15% over RE 23-24
state,2024-25,transport,23828.0,"PRS India Budget Analysis 2024-25 | TN_State_Budget_Analysis_2024_25_PRS.pdf | Transport (incl. roads, highways, public transport) | +12%"
state,2024-25,energy,21606.0,"PRS India Budget Analysis 2024-25 | TN_State_Budget_Analysis_2024_25_PRS.pdf | Energy (TANGEDCO support, power sector) | -11% over RE"
state,2024-25,healthcare,19730.0,PRS India Budget Analysis 2024-25 | TN_State_Budget_Analysis_2024_25_PRS.pdf | Health and Family Welfare | +5% over RE 23-24
state,2024-25,social_welfare,12043.0,PRS India Budget Analysis 2024-25 | TN_State_Budget_Analysis_2024_25_PRS.pdf | Rural Development and Panchayat Raj | +25% over RE
state,2024-25,safety_policing,11965.0,PRS India Budget Analysis 2024-25 | TN_State_Budget_Analysis_2024_25_PRS.pdf | Police and Home Affairs | +11% over RE 23-24
